,l1,l2,l_inf,dist,sparsity,segnums,target_probs
0,25.756286342,5.187623568494248,1.5373236,25.756286342,0.7,1,0.4983404
1,1.5535158619999998,0.3316045133389669,0.211466996,1.5535158619999998,0.7,1,0.49835595
2,40.848428688,6.724387533208939,1.3998937800000002,40.848428688,0.7,1,0.49832836
3,16.118092602,3.2601369456340996,1.02900925,16.118092602,0.7,1,0.49834886
4,9.624010643000002,1.9137386923040047,0.68717618,9.624010643000002,0.7,1,0.49835595
5,7.456556045999999,1.7275985234829931,0.583288688,7.456556045999999,0.7,1,0.49835595
6,24.506834262,4.570326696633904,1.35730174,24.506834262,0.7,1,0.4983557
7,46.021690389300005,7.852618503511314,1.62323666,46.021690389300005,0.7,1,0.49833757
8,5.950062707,1.1397796955350181,0.3991713800000001,5.950062707,0.7,1,0.49835598
9,6.630840653,1.5606661971367903,0.6847645,6.630840653,0.72,3,0.49835595
10,12.161907933999998,2.423241557117151,0.7947231800000001,12.161907933999998,0.7066666666666667,2,0.49835595
11,10.486322165999999,1.8031984458073218,0.5374108980000001,10.486322165999999,0.7,1,0.49835598
12,12.8668025032,3.1238130583755663,0.97824048,12.8668025032,0.7,1,0.49834824
13,26.090934199000003,5.256083877861305,1.5621786599999998,26.090934199000003,0.7,1,0.4983379
14,22.690028248,4.741122927110656,1.41680766,22.690028248,0.7,1,0.49834523
15,3.8590941269999997,0.6537138743443097,0.16850368999999998,3.8590941269999997,0.7,1,0.49835598
16,10.688553797,2.46327759593741,0.92238858,10.688553797,0.7,1,0.49835595
17,12.885138183,2.8299164533333854,1.76293517,12.885138183,0.7,1,0.49835593
18,7.51657662,2.244880654547128,1.76161805,7.51657662,0.7133333333333334,2,0.49835595
19,2.5365724536,0.5998545802766113,0.210444288,2.5365724536,0.7,1,0.49835598
20,31.4336017401,6.477451365288821,1.85088536,31.4336017401,0.7,1,0.49833935
21,47.686893112999996,8.091356564231242,1.6281470200000001,47.686893112999996,0.7,1,0.49833685
22,12.258947232999999,2.4556065729100673,0.9030445400000001,12.258947232999999,0.7,1,0.49835595
23,10.229349342999999,2.1305485794276886,0.7119563799999999,10.229349342999999,0.7,1,0.49835595
24,31.312734026,6.4809732365807475,1.86079046,31.312734026,0.7,1,0.49835464
25,39.369402392,6.830281799038446,1.7468056,39.369402392,0.7,1,0.49835595
26,29.959014222,6.044322907820511,1.71762679,29.959014222,0.7,1,0.4983398
27,25.165426205000003,5.058802930732812,1.52294208,25.165426205000003,0.7,1,0.4983408
28,11.375555904999999,2.151747248405261,0.67300863,11.375555904999999,0.7,1,0.49835598
29,8.280389493,1.6622747815543724,0.60186838,8.280389493,0.7,1,0.4983525
30,6.211069312999999,1.3179930095635017,0.5444811,6.211069312999999,0.7,1,0.49835595
31,46.882844533,7.913637760483391,1.61059557,46.882844533,0.7,1,0.49833536
32,39.854387857000006,6.9278467676347,1.60795522,39.854387857000006,0.7,1,0.49834082
33,8.650244815999999,2.0630029962022762,0.8805289000000001,8.650244815999999,0.7,1,0.49835595
34,7.088153029,1.4345344675024494,0.5653059,7.088153029,0.7,1,0.49835595
35,7.265257734,1.4225557224426841,0.5240861800000001,7.265257734,0.7,1,0.49835598
36,7.996347308,1.7247015875816567,0.7152484800000001,7.996347308,0.7,1,0.49835125
37,4.594659248999999,0.8668853102086068,0.334644882,4.594659248999999,0.7,1,0.49835598
38,25.705370422999998,5.432405787079554,1.59912728,25.705370422999998,0.7066666666666667,2,0.4983397
39,11.775682498000002,2.7755120540532263,0.84332124,11.775682498000002,0.7,1,0.49835595
40,5.070828406,1.2024215920242933,0.5278309000000001,5.070828406,0.7,1,0.49835595
41,40.106648973839995,6.680250011954517,1.38912902,40.106648973839995,0.7,1,0.49833986
42,6.113532213999999,1.3468694372397452,0.582249292,6.113532213999999,0.7,1,0.49835512
43,3.6101561870000003,0.6596176374623144,0.22020202,3.6101561870000003,0.7,1,0.49835598
44,39.070935676,6.610826231373046,1.58776761,39.070935676,0.7,1,0.49834192
45,25.586378316999998,4.70782339378186,1.3485193199999999,25.586378316999998,0.7,1,0.49835598
46,40.8594259937,6.974843884937992,1.53638537,40.8594259937,0.7,1,0.49834517
47,5.739639259900001,1.2421807663583064,0.43499277999999997,5.739639259900001,0.7,1,0.49835598
48,14.985653757000001,3.2335692821791207,1.15837638,14.985653757000001,0.7,1,0.4983558
49,2.6424929820000003,0.479314662571022,0.213276918,2.6424929820000003,0.7,1,0.49835598
50,8.259867532000001,2.7933707502824183,2.30130116,8.259867532000001,0.7,1,0.49835598
51,35.894067541000005,6.206908732848697,1.58010108,35.894067541000005,0.7,1,0.49835595
52,6.576866566,1.470752921804617,0.5874495800000001,6.576866566,0.7133333333333334,3,0.49835485
53,35.300986332,5.9055161834530425,1.4104637,35.300986332,0.7066666666666667,2,0.49835327
54,7.901677321,1.6769589528867317,0.6825566999999999,7.901677321,0.7,1,0.49835595
55,24.864350072999997,4.94195036246092,1.48302205,24.864350072999997,0.7,1,0.49833846
56,40.7533543201,7.143458610429472,1.7177098000000002,40.7533543201,0.7,1,0.49834204
57,4.38123652,0.9495376998186693,0.39055250799999996,4.38123652,0.7,1,0.49835595
58,8.066622227,1.8924308508192689,0.7677283800000001,8.066622227,0.7,1,0.49835595
59,17.3691008828,4.006443469535329,1.23811064,17.3691008828,0.7,1,0.4983559
60,26.384427583,5.317048895036262,1.61268046,26.384427583,0.7,1,0.49834108
61,40.862512553,6.6924999348531085,1.32707308,40.862512553,0.7,1,0.49833003
62,27.758777614000003,5.732403864034286,1.67895766,27.758777614000003,0.7,1,0.49834
63,15.778659663,3.686483847171867,1.212647288,15.778659663,0.7,1,0.49835595
64,5.7971838267,1.3494466149347009,0.47741692,5.7971838267,0.7,1,0.49835595
65,4.466557943,0.7743617489032407,0.2262242000000001,4.466557943,0.7,1,0.49835116
66,23.787408508,5.085710277647225,1.55674608,23.787408508,0.7,1,0.49834037
67,7.900600162999999,1.6902148864592779,0.649233118,7.900600162999999,0.7,1,0.49835595
